temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
High,Low,No,High,High,Culex quinquefasciatus,No,Low,No,No,Low,Rural,No,No,Bad,Bad,Yes,0.170496525
Low,High,Yes,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,No,No,Good,Bad,Yes,0.076668274
Low,High,No,Low,High,Aedes aegypti,Yes,High,Yes,Yes,Low,Rural,No,No,Good,Bad,Yes,0.789087613
Low,Low,No,Low,High,Aedes aegypti,Yes,High,Yes,No,High,Urban,Yes,No,Bad,Good,Yes,0.796641537
High,Low,Yes,Low,High,Aedes aegypti,Yes,Low,No,No,High,Rural,Yes,Yes,Good,Bad,No,0.667926427
Low,Low,Yes,Low,Low,Anopheles gambiae,No,High,Yes,No,Low,Urban,No,No,Bad,Bad,Yes,0.073452235
High,Low,No,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Rural,No,Yes,Bad,Bad,Yes,0.599496744
Low,High,Yes,Low,Low,Aedes aegypti,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Bad,No,0.659217425
Low,Low,No,High,Low,Culex quinquefasciatus,No,High,Yes,Yes,Low,Urban,Yes,Yes,Bad,Bad,No,0.344320369
High,Low,No,Low,Low,Anopheles gambiae,No,Low,No,Yes,High,Urban,Yes,No,Bad,Good,Yes,0.822825447
Low,High,No,High,High,Anopheles gambiae,Yes,Low,Yes,No,High,Urban,Yes,No,Bad,Bad,Yes,0.332912672
Low,Low,Yes,High,Low,Aedes aegypti,No,High,Yes,Yes,High,Urban,Yes,No,Bad,Bad,Yes,0.855624836
Low,Low,Yes,Low,High,Anopheles gambiae,No,Low,No,No,High,Urban,Yes,No,Good,Good,Yes,0.966235176
High,Low,No,Low,High,Aedes aegypti,Yes,High,No,Yes,High,Rural,No,Yes,Bad,Bad,Yes,0.315890274
Low,High,No,Low,Low,Aedes aegypti,Yes,High,No,No,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.423926177
High,High,No,Low,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Urban,No,Yes,Good,Bad,Yes,0.762088963
Low,High,No,High,High,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,No,No,Good,Bad,No,0.471191707
High,Low,No,High,Low,Anopheles gambiae,No,Low,No,Yes,High,Urban,Yes,Yes,Good,Good,No,0.504336317
High,High,No,High,High,Aedes aegypti,Yes,High,No,No,High,Urban,No,Yes,Bad,Good,Yes,0.240796205
Low,High,Yes,Low,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Rural,Yes,No,Bad,Bad,Yes,0.164532107
High,Low,No,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Rural,Yes,No,Good,Good,Yes,0.906729656
Low,High,No,High,Low,Aedes aegypti,No,Low,No,Yes,High,Urban,Yes,No,Bad,Good,Yes,0.028758425
Low,High,Yes,Low,Low,Anopheles gambiae,No,Low,No,Yes,Low,Urban,No,No,Good,Bad,No,0.242073783
High,High,No,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,Yes,No,Bad,Good,No,0.739992891
Low,High,Yes,Low,High,Culex quinquefasciatus,No,High,No,Yes,Low,Rural,Yes,No,Bad,Bad,No,0.976034766
Low,Low,No,Low,Low,Culex quinquefasciatus,No,Low,No,No,High,Urban,Yes,No,Good,Bad,Yes,0.842785029
High,High,No,High,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Urban,Yes,No,Bad,Good,Yes,0.098759757
High,High,Yes,High,High,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,Yes,Bad,Bad,No,0.231796656
High,High,Yes,Low,Low,Anopheles gambiae,No,Low,No,No,High,Rural,No,Yes,Good,Bad,No,0.033750304
Low,High,Yes,Low,High,Culex quinquefasciatus,No,Low,No,No,High,Urban,Yes,No,Bad,Good,No,0.493945638
Low,High,Yes,Low,Low,Anopheles gambiae,No,High,Yes,No,High,Rural,Yes,No,Bad,Good,No,0.881790834
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,High,Urban,No,Yes,Bad,Bad,Yes,0.785810571
High,High,No,High,High,Anopheles gambiae,No,Low,Yes,No,High,Urban,Yes,No,Good,Good,No,0.435071577
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Rural,Yes,Yes,Good,Good,No,0.186165498
Low,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,High,Yes,No,High,Rural,No,Yes,Good,Bad,Yes,0.993482311
Low,Low,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,Yes,Bad,Bad,No,0.925771825
High,Low,Yes,High,High,Anopheles gambiae,No,High,No,Yes,High,Rural,Yes,No,Good,Bad,No,0.989600556
Low,High,No,High,Low,Anopheles gambiae,No,High,Yes,Yes,Low,Rural,Yes,No,Good,Bad,No,0.408215655
High,Low,No,High,High,Culex quinquefasciatus,No,Low,Yes,No,High,Rural,Yes,Yes,Bad,Bad,Yes,0.762566175
High,Low,No,High,Low,Anopheles gambiae,Yes,High,No,No,High,Urban,Yes,Yes,Bad,Good,Yes,0.463274373
Low,Low,No,High,High,Anopheles gambiae,Yes,High,No,Yes,High,Urban,Yes,Yes,Bad,Good,No,0.128729915
High,Low,No,Low,Low,Culex quinquefasciatus,Yes,High,No,No,Low,Urban,Yes,No,Bad,Good,Yes,0.069080329
Low,High,No,Low,High,Anopheles gambiae,No,Low,Yes,No,Low,Rural,Yes,Yes,Bad,Good,No,0.843723107
Low,Low,No,High,Low,Aedes aegypti,Yes,High,No,Yes,High,Rural,Yes,No,Good,Bad,Yes,0.867452314
High,Low,Yes,High,Low,Aedes aegypti,No,High,Yes,No,High,Rural,Yes,No,Good,Bad,No,0.563878743
High,Low,No,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,No,Yes,Good,Good,No,0.855428873
Low,High,No,Low,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Urban,No,Yes,Good,Bad,Yes,0.89106645
High,Low,No,High,High,Culex quinquefasciatus,Yes,High,Yes,No,High,Urban,Yes,No,Bad,Bad,Yes,0.880805189
Low,Low,Yes,High,High,Culex quinquefasciatus,No,Low,Yes,No,Low,Rural,No,No,Bad,Good,Yes,0.341928563
Low,High,No,Low,High,Anopheles gambiae,No,Low,No,Yes,High,Urban,No,No,Good,Bad,No,0.163288666
High,Low,Yes,High,High,Anopheles gambiae,Yes,Low,No,Yes,Low,Urban,No,Yes,Good,Bad,Yes,0.898881005
High,Low,Yes,Low,Low,Aedes aegypti,No,High,No,No,High,Urban,No,Yes,Bad,Good,No,0.948756715
Low,High,No,Low,High,Aedes aegypti,No,High,No,No,Low,Urban,No,No,Good,Bad,Yes,0.510929489
Low,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Rural,Yes,No,Bad,Good,No,0.799513393
Low,High,No,High,Low,Anopheles gambiae,Yes,Low,No,Yes,High,Rural,Yes,Yes,Good,Bad,No,0.968663458
High,High,No,Low,High,Aedes aegypti,Yes,High,No,Yes,Low,Urban,No,Yes,Bad,Good,No,0.74989249
Low,Low,No,High,High,Anopheles gambiae,No,Low,Yes,No,Low,Rural,Yes,No,Good,Bad,Yes,0.119533138
High,High,Yes,High,High,Culex quinquefasciatus,No,High,No,No,High,Rural,No,Yes,Bad,Bad,No,0.016586905
Low,High,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,High,Urban,No,No,Bad,Bad,No,0.817877195
Low,High,Yes,High,Low,Aedes aegypti,Yes,Low,Yes,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.951766518
Low,Low,No,High,Low,Aedes aegypti,Yes,High,Yes,Yes,High,Rural,No,Yes,Bad,Good,No,0.479103757
Low,High,No,Low,High,Culex quinquefasciatus,No,Low,Yes,No,Low,Urban,No,Yes,Bad,Good,Yes,0.422955484
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Urban,No,Yes,Bad,Bad,No,0.251223369
Low,Low,No,High,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,Yes,No,Bad,Bad,Yes,0.458113188
High,Low,Yes,High,Low,Culex quinquefasciatus,No,Low,Yes,No,High,Urban,No,No,Good,Good,Yes,0.316060726
Low,Low,No,Low,Low,Aedes aegypti,No,Low,Yes,Yes,High,Urban,No,No,Bad,Good,Yes,0.689529007
High,Low,No,Low,Low,Aedes aegypti,No,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.23253244
Low,High,Yes,High,High,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,Yes,No,Good,Good,No,0.495148567
Low,High,Yes,Low,High,Aedes aegypti,Yes,Low,No,Yes,High,Rural,Yes,Yes,Good,Good,No,0.87120491
Low,Low,No,High,High,Anopheles gambiae,No,High,No,No,Low,Rural,Yes,No,Good,Good,Yes,0.231263533
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Rural,No,No,Bad,Bad,No,0.441771865
Low,High,No,High,High,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,Yes,Good,Good,No,0.78899095
Low,Low,Yes,High,Low,Aedes aegypti,Yes,Low,No,Yes,High,Rural,Yes,No,Good,Bad,No,0.732551142
Low,High,No,High,High,Aedes aegypti,No,High,Yes,No,High,Rural,No,Yes,Good,Good,Yes,0.522382318
High,Low,No,High,Low,Culex quinquefasciatus,Yes,Low,No,Yes,High,Urban,Yes,Yes,Bad,Bad,Yes,0.385467401
High,High,No,Low,High,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,Yes,No,Good,Good,Yes,0.486357125
High,High,No,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,Low,Urban,No,No,Good,Bad,Yes,0.889904386
High,Low,Yes,High,Low,Aedes aegypti,No,Low,Yes,Yes,High,Rural,No,No,Bad,Bad,Yes,0.06995356
Low,Low,Yes,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,High,Urban,Yes,No,Bad,Bad,No,0.687052375
High,Low,No,Low,High,Anopheles gambiae,Yes,Low,No,Yes,High,Urban,No,Yes,Bad,Bad,Yes,0.903975858
Low,Low,Yes,High,Low,Anopheles gambiae,No,High,No,No,High,Rural,No,Yes,Good,Good,Yes,0.463549005
Low,Low,Yes,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,Low,Urban,No,Yes,Good,Bad,No,0.688274815
High,High,Yes,High,High,Culex quinquefasciatus,Yes,High,No,No,High,Rural,Yes,Yes,Bad,Bad,No,0.860898045
Low,High,Yes,High,Low,Aedes aegypti,No,High,Yes,No,Low,Urban,No,No,Bad,Good,Yes,0.72351475
Low,Low,Yes,High,Low,Aedes aegypti,Yes,Low,Yes,No,Low,Rural,Yes,No,Good,Good,Yes,0.80397191
High,Low,Yes,High,Low,Anopheles gambiae,No,Low,No,No,High,Rural,No,No,Good,Good,Yes,0.390191274
High,Low,No,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.384432215
Low,High,No,Low,Low,Aedes aegypti,Yes,High,Yes,No,High,Rural,No,No,Good,Good,No,0.576901657
Low,High,Yes,High,Low,Anopheles gambiae,No,High,No,Yes,Low,Urban,No,Yes,Good,Bad,Yes,0.975375332
Low,Low,Yes,Low,Low,Aedes aegypti,Yes,High,No,Yes,Low,Rural,Yes,Yes,Good,Good,No,0.670005163
High,High,Yes,Low,High,Anopheles gambiae,Yes,Low,No,No,High,Urban,No,No,Good,Bad,Yes,0.12510867
High,Low,No,Low,High,Aedes aegypti,No,Low,Yes,Yes,High,Rural,No,Yes,Good,Good,No,0.558388081
High,High,Yes,High,High,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Rural,No,Yes,Good,Good,Yes,0.905342142
Low,Low,Yes,Low,Low,Aedes aegypti,Yes,High,No,No,High,Urban,Yes,No,Bad,Good,Yes,0.422160434
High,Low,No,Low,High,Culex quinquefasciatus,No,High,Yes,No,Low,Urban,Yes,Yes,Good,Good,No,0.443247515
Low,Low,No,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,No,Yes,Bad,Bad,Yes,0.650402619
High,High,No,Low,High,Aedes aegypti,Yes,High,Yes,Yes,High,Rural,No,Yes,Bad,Good,No,0.987004358
Low,Low,Yes,Low,High,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,Yes,No,Good,Good,No,0.663018833
Low,High,Yes,High,Low,Anopheles gambiae,No,High,No,No,Low,Urban,No,Yes,Bad,Bad,No,0.778021344
High,Low,No,High,High,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.362225053
Low,High,No,High,Low,Culex quinquefasciatus,No,High,Yes,Yes,Low,Rural,Yes,Yes,Bad,Good,No,0.785605101
High,High,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Rural,Yes,Yes,Good,Good,Yes,0.139339676
Low,Low,No,Low,High,Culex quinquefasciatus,Yes,High,No,Yes,High,Urban,No,Yes,Bad,Bad,No,0.432109681
Low,Low,No,High,Low,Culex quinquefasciatus,No,High,Yes,Yes,Low,Rural,Yes,No,Good,Good,Yes,0.847437788
Low,Low,Yes,High,Low,Aedes aegypti,No,Low,Yes,Yes,High,Urban,No,No,Bad,Good,Yes,0.164229337
Low,Low,Yes,High,Low,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,No,Yes,Bad,Bad,Yes,0.793301307
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,High,No,Yes,High,Urban,No,No,Good,Bad,Yes,0.315557716
High,Low,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.821845382
Low,High,No,High,High,Aedes aegypti,No,Low,No,No,High,Rural,No,No,Bad,Good,No,0.012742535
High,High,No,High,Low,Aedes aegypti,No,High,Yes,No,Low,Urban,No,No,Good,Bad,No,0.728139364
Low,Low,Yes,High,High,Aedes aegypti,No,Low,Yes,No,Low,Rural,No,Yes,Good,Good,Yes,0.6421581
Low,High,No,Low,Low,Anopheles gambiae,Yes,High,No,No,Low,Rural,No,Yes,Bad,Bad,No,0.615101258
Low,Low,Yes,High,Low,Aedes aegypti,Yes,Low,Yes,No,Low,Urban,No,No,Good,Good,No,0.812831919
Low,Low,Yes,High,High,Culex quinquefasciatus,Yes,Low,Yes,Yes,High,Rural,No,Yes,Good,Good,No,0.668924565
Low,High,Yes,Low,High,Aedes aegypti,Yes,High,No,No,Low,Urban,Yes,Yes,Good,Bad,No,0.932558355
High,Low,Yes,High,High,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,Yes,Bad,Bad,No,0.412208115
Low,Low,No,High,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Urban,No,Yes,Bad,Good,Yes,0.354787271
Low,High,Yes,High,High,Aedes aegypti,Yes,High,No,Yes,High,Urban,Yes,Yes,Good,Good,Yes,0.996391685
Low,Low,No,High,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,No,Bad,Good,Yes,0.587765232
Low,Low,No,High,Low,Anopheles gambiae,No,High,Yes,No,High,Urban,No,No,Good,Bad,Yes,0.01652029
High,High,Yes,Low,High,Aedes aegypti,Yes,Low,No,No,Low,Urban,Yes,Yes,Good,Bad,No,0.759184877
Low,High,No,High,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Urban,Yes,Yes,Good,Bad,No,0.126185288
Low,Low,Yes,High,Low,Anopheles gambiae,No,High,No,Yes,High,Urban,Yes,No,Good,Good,No,0.778686694
High,Low,Yes,High,High,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.106943061
Low,Low,No,Low,Low,Aedes aegypti,No,Low,No,No,Low,Urban,No,Yes,Bad,Good,No,0.926019442
High,High,Yes,Low,High,Anopheles gambiae,No,High,No,No,High,Rural,No,No,Bad,Bad,Yes,0.470788505
Low,Low,Yes,High,High,Aedes aegypti,Yes,Low,No,No,Low,Urban,No,No,Bad,Good,Yes,0.568810154
High,High,Yes,High,High,Anopheles gambiae,No,Low,No,Yes,High,Urban,Yes,No,Bad,Good,Yes,0.212860822
Low,Low,Yes,High,Low,Anopheles gambiae,No,High,No,No,High,Urban,Yes,Yes,Good,Bad,No,0.090789901
High,High,Yes,Low,High,Aedes aegypti,Yes,High,No,No,Low,Urban,Yes,No,Good,Good,Yes,0.699428567
High,High,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Bad,Yes,0.879428118
High,Low,Yes,High,High,Aedes aegypti,Yes,High,No,No,High,Urban,No,No,Good,Bad,No,0.639542105
High,Low,Yes,Low,High,Anopheles gambiae,No,High,Yes,No,Low,Rural,Yes,No,Good,Bad,Yes,0.201702383
High,Low,Yes,High,Low,Anopheles gambiae,No,Low,Yes,No,High,Urban,No,No,Good,Good,No,0.910355753
Low,High,No,Low,High,Culex quinquefasciatus,No,High,No,No,Low,Urban,No,No,Bad,Good,Yes,0.306664851
High,Low,No,Low,High,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,Yes,Good,Bad,No,0.665360144
High,Low,No,High,High,Culex quinquefasciatus,Yes,Low,Yes,No,High,Urban,No,Yes,Bad,Bad,Yes,0.213162536
Low,High,Yes,High,High,Aedes aegypti,No,Low,No,Yes,Low,Rural,No,Yes,Good,Bad,Yes,0.68480895
Low,Low,No,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Rural,Yes,Yes,Good,Bad,No,0.540266994
Low,High,No,High,Low,Aedes aegypti,No,High,Yes,Yes,High,Urban,Yes,Yes,Good,Bad,No,0.036835217
Low,Low,No,Low,Low,Aedes aegypti,Yes,Low,No,Yes,High,Rural,Yes,Yes,Good,Good,No,0.532302453
Low,High,No,Low,Low,Anopheles gambiae,Yes,Low,No,No,Low,Urban,No,No,Good,Good,No,0.729160829
Low,Low,No,Low,High,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,No,Yes,Good,Good,Yes,0.192801093
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,Yes,No,Good,Bad,No,0.554173309
High,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,No,Low,Rural,Yes,Yes,Good,Bad,No,0.947070082
Low,High,Yes,Low,Low,Aedes aegypti,No,High,Yes,Yes,Low,Rural,No,Yes,Good,Bad,No,0.704185247
Low,High,No,High,Low,Aedes aegypti,No,Low,No,Yes,High,Urban,Yes,No,Bad,Good,Yes,0.202235256
Low,High,Yes,High,Low,Culex quinquefasciatus,No,High,No,No,Low,Urban,No,No,Bad,Good,No,0.986613016
High,Low,No,Low,High,Anopheles gambiae,Yes,Low,No,Yes,High,Urban,Yes,Yes,Good,Good,No,0.600449256
Low,Low,No,High,High,Anopheles gambiae,Yes,High,No,Yes,High,Urban,No,No,Bad,Good,No,0.622115382
Low,Low,No,High,High,Aedes aegypti,Yes,Low,No,Yes,High,Rural,Yes,No,Good,Bad,No,0.405362263
Low,High,No,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Rural,No,No,Bad,Good,No,0.287273118
High,High,Yes,High,High,Anopheles gambiae,No,Low,No,No,Low,Rural,No,Yes,Bad,Good,No,0.841761366
Low,Low,No,Low,High,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,No,Yes,Bad,Bad,No,0.113861469
High,Low,No,High,High,Culex quinquefasciatus,No,High,No,No,High,Rural,No,Yes,Bad,Bad,Yes,0.134633083
Low,Low,No,Low,High,Aedes aegypti,Yes,Low,Yes,No,High,Rural,Yes,No,Good,Good,Yes,0.41784741
Low,Low,No,High,High,Anopheles gambiae,No,Low,No,No,High,Urban,Yes,Yes,Good,Bad,Yes,0.342807331
Low,High,No,High,High,Anopheles gambiae,No,Low,No,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.252196631
High,High,No,Low,High,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,Yes,No,Good,Good,No,0.990642791
Low,High,Yes,High,Low,Aedes aegypti,Yes,High,No,No,Low,Urban,Yes,Yes,Good,Bad,No,0.081263138
High,High,Yes,High,High,Anopheles gambiae,No,Low,Yes,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.644826017
Low,High,Yes,Low,High,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Urban,Yes,No,Good,Bad,Yes,0.174050074
Low,Low,No,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,Yes,Yes,Bad,Good,No,0.169710952
Low,Low,No,High,Low,Culex quinquefasciatus,No,Low,Yes,No,High,Urban,Yes,No,Bad,Good,No,0.779518932
High,Low,Yes,Low,Low,Anopheles gambiae,No,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.056803228
Low,High,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Urban,No,No,Good,Good,No,0.819125738
Low,High,Yes,Low,High,Aedes aegypti,Yes,High,Yes,No,Low,Rural,Yes,Yes,Bad,Good,Yes,0.790208676
Low,Low,No,Low,High,Anopheles gambiae,No,Low,No,Yes,High,Urban,No,No,Bad,Good,Yes,0.688098904
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Urban,No,No,Bad,Bad,Yes,0.261457997
Low,High,No,High,Low,Aedes aegypti,Yes,Low,Yes,Yes,Low,Rural,No,Yes,Good,Good,No,0.313222506
High,High,No,Low,High,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,No,Bad,Bad,Yes,0.363697785
Low,Low,No,Low,High,Anopheles gambiae,No,High,No,Yes,Low,Rural,Yes,No,Good,Good,Yes,0.313934523
